PEMV,lower,upper,rhizo,strain
0.947368432,0.736835689,1.578947387,rhizo,Banner
2.736838924,2.10525997,3.47368425,no_rhizo,Banner
9.05262847,8.421049516,9.473684319,rhizo,Lynx
10.94736533,10.21052001,11.47367792,no_rhizo,Lynx
11.05263171,10.31578638,12.00000014,rhizo,Melrose
8.21052641,7.473681084,8.736838993,no_rhizo,Melrose
64.31578941,63.78947442,65.05263233,rhizo,Windham
31.05263033,30.52631293,31.47368136,no_rhizo,Windham
